Gene,Ensembl ID,Lineage/ L1 or state,cell type(s),Rationale/Source,Specific Request by,specificity flag,Protein/Other name,is_in_10x_multi_panel,10x_multi_panel_celltype,is_in_Xenium_KIL_panel,10x_panel_designer_comment
PAX1,ENSG00000125813,epithelial,"ventral vertebral column, few thymic stromal",Tissue  expert added,IVD,,,FALSE,NA,FALSE,
RAB25,ENSG00000132698,epithelial,"duct cell,mucous cell,stratified epithelial cell",TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
REEP6,ENSG00000115255,epithelial,granulosa cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
RTKN2,ENSG00000182010,epithelial,type I pneumocyte,TOP 5 (CZI) List,,,,TRUE,Lung - Alveolar cells type 1,FALSE,
S100A14,ENSG00000189334,epithelial,"duct cell,mucous cell,stratified epithelial cell",TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
SCEL,ENSG00000136155,epithelial,type I pneumocyte,TOP 5 (CZI) List; MxIF Proteins,,,,FALSE,NA,TRUE,
SCGB3A2,ENSG00000164265,epithelial,"submocosal glands, bronchiolar epithelium, ? other tissues",MxIF Proteins,,,,FALSE,NA,TRUE,
SFRP2,ENSG00000145423,epithelial,"hari follicles, ?cell in IVD, pancreatic ca",Tissue  expert added,IVD,,,TRUE,"General - Endothelial cells,General - Fibroblasts,General - Smooth muscle cells",FALSE,
SFTPB,ENSG00000168878,epithelial,"type II pneumocyte, bronchiolar epithelium",MxIF Proteins,,,,FALSE,NA,TRUE,
SH2D7,ENSG00000183476,epithelial,tuft cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
SHH,ENSG00000164690,epithelial,Hair shaft matrix,Tissue  expert added,Skin,,,FALSE,NA,FALSE,
SLC15A1,ENSG00000088386,epithelial,paneth cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
SLC1A1,ENSG00000106688,epithelial,type I pneumocyte,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
SLC22A31,ENSG00000259803,epithelial,type II pneumocyte,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
SLC34A2,ENSG00000157765,epithelial,"duct cell,type II pneumocyte",TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
SLC5A12,ENSG00000148942,epithelial,paneth cell,TOP 5 (CZI) List,,,,FALSE,NA,TRUE,
SLC5A8,ENSG00000256870,epithelial,glandular epithelium,Tissue  expert added,Uterus,,,FALSE,NA,FALSE,
SLCO1A2,ENSG00000084453,epithelial,tuft cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
