organ,source,target,sum_extraction_sites_number
3d-vh-m-lung,VH_M_cartilage_of_the_tertiary_bronchus_L,VH_M_left_lingula_superior_bronchus,3
3d-vh-f-small-intestine,VH_F_duodenum_descending,VH_F_sphincter_of_heptopancreatic_ampulla,3
3d-vh-m-lung,VH_M_cartilage_of_the_tertiary_bronchus_L,VH_M_left_posterior_basal_bronchus,3
3d-vh-f-small-intestine,VH_F_duodenum_ascending,VH_F_duodenum_horizontal,3
3d-vh-m-lung,VH_M_cartilage_of_the_tertiary_bronchus_R,VH_M_hilum_middle_R,3
3d-vh-f-small-intestine,VH_F_ileum,VH_F_ileum_terminal,3
3d-vh-m-lung,VH_M_cartilage_of_the_tertiary_bronchus_R,VH_M_right_anterior_bronchus,3
3d-vh-f-heart,VH_F_left_cardiac_atrium,VH_F_right_ventricle,3
3d-vh-m-lung,VH_M_cartilage_of_the_tertiary_bronchus_R,VH_M_right_posterior_basal,3
3d-vh-m-lung,VH_M_cartilage_of_the_tertiary_bronchus_R,VH_M_right_superior_bronchus,3
3d-vh-m-urinary-bladder,VH_M_trigone_of_urinary_bladder,VH_M_ureteral_orifice_L,3
3d-vh-m-lung,VH_M_cartilage_of_the_tertiary_bronchus_R,VH_M_hilum_R,3
3d-vh-m-heart,VH_M_left_cardiac_atrium,VH_M_right_cardiac_atrium,3
3d-vh-f-kidney-r,VH_F_renal_column_R,VH_F_renal_pyramid_R_i,3
3d-vh-m-urinary-bladder,VH_M_fundus_of_urinary_bladder_base1,VH_M_ureteral_orifice_R,3
3d-vh-m-urinary-bladder,VH_M_trigone_of_urinary_bladder,VH_M_ureteral_orifice_R,3
3d-vh-m-lung,VH_M_cartilage_of_the_tertiary_bronchus_R,VH_M_right_medial_bronchus,3
3d-vh-m-urinary-bladder,VH_M_fundus_of_urinary_bladder_base1,VH_M_ureteral_orifice_L,3
3d-vh-m-urinary-bladder,VH_M_fundus_of_urinary_bladder_base1,VH_M_trigone_of_urinary_bladder,3
3d-vh-m-urinary-bladder,VH_M_fundus_of_urinary_bladder_base1,VH_M_urinary_bladder_neck_smooth_muscle,3
3d-vh-m-urinary-bladder,VH_M_trigone_of_urinary_bladder,VH_M_urinary_bladder_neck_smooth_muscle,3
3d-vh-m-lung,VH_M_cartilage_of_the_tertiary_bronchus_R,VH_M_right_superior_lobar_bronchus,3
3d-vh-m-lung,VH_M_cartilage_of_the_tertiary_bronchus_R,VH_M_right_apical_bronchus,3
3d-vh-m-lung,VH_M_cartilage_of_the_tertiary_bronchus_R,VH_M_right_superior_bronchopulmonary_segment,3
3d-vh-m-lung,VH_M_cartilage_of_the_tertiary_bronchus_R,VH_M_hilum_lower_R,3
3d-vh-f-kidney-r,VH_F_renal_column_R,VH_F_renal_pyramid_R_f,3
3d-vh-m-lung,VH_M_cartilage_of_the_tertiary_bronchus_R,VH_M_right_intermediate_bronchus,3
3d-vh-m-lung,VH_M_cartilage_of_the_tertiary_bronchus_L,VH_M_hilum_L,3
3d-vh-m-liver,VH_M_left_anterolateral_segment,VH_M_quadrate_lobe_of_liver,2
3d-vh-m-liver,VH_M_liver_capsule,VH_M_right_posteroinferior_segment,2
3d-vh-m-liver,VH_M_diaphragmatic_surface,VH_M_duodenal_impression_of_liver,2
3d-vh-f-kidney-r,VH_F_renal_column_R,VH_F_renal_pyramid_R_b,2
3d-vh-f-kidney-r,VH_F_renal_column_R,VH_F_renal_pyramid_R_e,2
3d-vh-f-kidney-r,VH_F_renal_column_R,VH_F_renal_papilla_R_a,2
3d-vh-m-liver,VH_M_liver_capsule,VH_M_porta_hepatis,2
3d-vh-m-liver,VH_M_coronary_ligament_of_liver,VH_M_liver_capsule,2
3d-vh-m-liver,VH_M_diaphragmatic_surface,VH_M_triangular_ligament_of_liver,2
3d-vh-m-liver,VH_M_liver_capsule,VH_M_right_anterosuperior_segment,2
3d-vh-m-liver,VH_M_liver_capsule,VH_M_right_anteroinferior_segment,2
3d-vh-f-kidney-r,VH_F_renal_column_R,VH_F_renal_pyramid_R_c,2
3d-vh-f-kidney-r,VH_F_renal_column_R,VH_F_renal_papilla_R_g,2
3d-vh-m-liver,VH_M_hepataduodenal_ligament,VH_M_liver_capsule,2
3d-vh-m-liver,VH_M_left_anterolateral_segment,VH_M_left_posterolateral_segment,2
3d-vh-m-liver,VH_M_left_superiomedial_segment,VH_M_liver_capsule,2
3d-vh-m-liver,VH_M_liver_capsule,VH_M_right_posterosuperior_segment,2
3d-vh-f-kidney-r,VH_F_renal_column_R,VH_F_renal_papilla_R_f,2
