gene_name,Ensembl ID,Lineage/ L1 or state,cell type(s),Rationale/Source,Specific Request by,specificity flag,Protein/Other name,is_in_10x_multi_panel,10x_multi_panel_celltype,is_in_Xenium_KIL_panel,10x_panel_designer_comment,ensemble,hgnc
PRG4,ENSG00000116690,stromal,synovial fluid; epicardium,Tissue  expert added (x2) ,IVD; HRT,,,True,"General - Fibroblasts,Liver - Hepatocytes",False,,ENSG00000116690,HGNC:9364
OSMR,ENSG00000145623,"stromal, activated fibroblasts",OSMRhi fibroblast,Tissue  expert added,,,,False,,False,,ENSG00000145623,HGNC:8507
ABCA9,ENSG00000154258,"stromal, adipocyte",adipocyte,TOP 5 (CZI) List,,,,False,,False,,ENSG00000154258,HGNC:39
ADIPOQ,ENSG00000181092,"stromal, adipocyte",adipocyte,Tissue  expert added,HRT,,,True,Breast - adipocytes,False,,ENSG00000181092,HGNC:13633
CILP,ENSG00000138615,"stromal, adipocyte",adipocyte,TOP 5 (CZI) List,,,,False,,False,,ENSG00000138615,HGNC:1980
CYP4B1,ENSG00000142973,"stromal, adipocyte",adipocyte,TOP 5 (CZI) List,,,,True,"Breast - Adipocytes,General - Endothelial cells,General - Fibroblasts,Lung - Alveolar cells type 1,Lung - Respiratory ciliated cells",False,,ENSG00000142973,HGNC:2644
PLIN1,ENSG00000166819,"stromal, adipocyte",adipocyte,MxIF Proteins,,,,False,,True,,ENSG00000166819,HGNC:9076
FGF12,ENSG00000114279,"stromal, cardiac muscle",cardiomyocyte,Tissue  expert added,HRT,,,False,,False,,ENSG00000114279,HGNC:3668
MYLK3,ENSG00000140795,"stromal, cardiac muscle",ventricular cardiomyocyte,Tissue  expert added,HRT,,,False,,False,,ENSG00000140795,HGNC:29826
NLGN1,ENSG00000169760,"stromal, cardiac muscle",ventricular cardiomyocyte,Tissue  expert added,HRT,,,False,,False,,ENSG00000169760,HGNC:14291
PAM,ENSG00000145730,"stromal, cardiac muscle",Atrial Cardiomyocyte,Tissue  expert added,HRT Add-on,,,False,,False,,ENSG00000145730,HGNC:8596
PKP2,ENSG00000057294,"stromal, cardiac muscle",ventricular cardiac myocyte,TOP 5 (CZI) List,,,,False,,False,,ENSG00000057294,HGNC:9024
PRKAG2,ENSG00000106617,"stromal, cardiac muscle",Atrial Cardiomyocyte,Tissue  expert added,HRT Add-on,,,False,,False,,ENSG00000106617,HGNC:9386
RBM20,ENSG00000203867,"stromal, cardiac muscle",ventricular cardiac myocyte,TOP 5 (CZI) List,,,,False,,False,,ENSG00000203867,HGNC:27424
TECRL,ENSG00000205678,"stromal, cardiac muscle","atrial cardiac myocyte,ventricular cardiac myocyte",TOP 5 (CZI) List,,,,False,,False,,ENSG00000205678,HGNC:27365
TENM2,ENSG00000145934,"stromal, cardiac muscle",ventricular cardiac myocyte,TOP 5 (CZI) List,,,,False,,False,,ENSG00000145934,HGNC:29943
TNNC1,ENSG00000114854,"stromal, cardiac muscle",atrial cardiac myocyte,TOP 5 (CZI) List,,,,False,,False,,ENSG00000114854,HGNC:11943
TNNI1,ENSG00000159173,"stromal, cardiac muscle",atrial cardiac myocyte,TOP 5 (CZI) List,,,,False,,False,,ENSG00000159173,HGNC:11945
TNNT2,ENSG00000118194,"stromal, cardiac muscle",atrial cardiac myocyte,TOP 5 (CZI) List,,,,False,,False,,ENSG00000118194,HGNC:11949
ACAN,ENSG00000157766,"stromal, chondrocyte","chondrocytes, CNS",Tissue  expert added,IVD,,,False,,False,,ENSG00000157766,HGNC:319
COL10A1,ENSG00000123500,"stromal, chondrocyte",hypertrophic chondrocytes,Tissue  expert added,IVD,,,False,,False,,ENSG00000123500,HGNC:2185
CLSTN2,ENSG00000158258,"stromal, fibroblasts",fibroblast,Tissue  expert added,Ovary,,,False,,False,,ENSG00000158258,HGNC:17448
COL5A1,ENSG00000130635,"stromal, fibroblasts","fibroblasts, vascular smooth muscle cells",Tissue  expert added,IVD,,,False,,False,,ENSG00000130635,HGNC:2209
DIO3OS,ENSG00000258498,"stromal, fibroblasts",fibroblast,Tissue  expert added,Uterus,,,False,,False,,ENSG00000258498,HGNC:20348
FOXF1,ENSG00000103241,"stromal, fibroblasts",fibroblasts ,Tissue  expert added,IVD,,,False,,False,,ENSG00000103241,HGNC:3809
GALNT15,ENSG00000131386,"stromal, fibroblasts",fibroblast,Tissue  expert added,Fallopian Tube,,,False,,False,,ENSG00000131386,HGNC:21531
GFPT2,ENSG00000131459,"stromal, fibroblasts",fibroblast,Tissue  expert added,Fallopian Tube,,,False,,False,,ENSG00000131459,HGNC:4242
IGSF10,ENSG00000152580,"stromal, fibroblasts",fibroblast,Tissue  expert added,Ovary,,,False,,False,,ENSG00000152580,HGNC:26384
OLFML3,ENSG00000116774,"stromal, fibroblasts","fibroblast,mesenchymal stem cell",TOP 5 (CZI) List,,,,False,,False,,ENSG00000116774,HGNC:24956
PWWP3B,ENSG00000157502,"stromal, fibroblasts",fibroblast,Tissue  expert added,Ovary,,,False,,False,,ENSG00000157502,HGNC:26583
SHC3,ENSG00000148082,"stromal, fibroblasts",fibroblast,Tissue  expert added,Uterus,,,False,,False,,ENSG00000148082,HGNC:18181
STXBP5L,ENSG00000145087,"stromal, fibroblasts",fibroblast,Tissue  expert added,Ovary,,,False,,False,,ENSG00000145087,HGNC:30757
EGFLAM,ENSG00000164318,"stromal, pericyte",pericyte,Tissue  expert added,HRT,,,False,,False,,ENSG00000164318,HGNC:26810
JSRP1,ENSG00000167476,"stromal, skeletal muscle",skeletal muscle cell,TOP 5 (CZI) List,,,,False,,False,,ENSG00000167476,HGNC:24963
TRABD2B,ENSG00000269113,"stromal, skeletal muscle",skeletal muscle cell,TOP 5 (CZI) List,,,,False,,False,,ENSG00000269113,HGNC:44200
WSCD2,ENSG00000075035,"stromal, skeletal muscle",skeletal muscle cell,TOP 5 (CZI) List,,,,False,,False,,ENSG00000075035,HGNC:29117
ZNF385C,ENSG00000187595,"stromal, skeletal muscle",skeletal muscle cell,TOP 5 (CZI) List,,,,False,,False,,ENSG00000187595,HGNC:33722
DGKG,ENSG00000058866,"stromal, smooth muscle",smooth muscle,Tissue  expert added,Ovary,,,False,,False,,ENSG00000058866,HGNC:2853
FBXL22,ENSG00000197361,"stromal, smooth muscle",smooth muscle,Tissue  expert added,Uterus,,,False,,False,,ENSG00000197361,HGNC:27537
GRIA2,ENSG00000120251,"stromal, smooth muscle",smooth muscle,Tissue  expert added,Fallopian Tube,,,False,,False,,ENSG00000120251,HGNC:4572
HSD17B6,ENSG00000025423,"stromal, smooth muscle",smooth muscle,Tissue  expert added,Uterus,,,False,,False,,ENSG00000025423,HGNC:23316
JPH2,ENSG00000149596,"stromal, smooth muscle",smooth muscle,Tissue  expert added,Fallopian Tube,,,False,,False,,ENSG00000149596,HGNC:14202
LMOD1,ENSG00000163431,"stromal, smooth muscle",smooth muscle cell,TOP 5 (CZI) List,,,,False,,False,,ENSG00000163431,HGNC:6647
PCP4,ENSG00000183036,"stromal, smooth muscle",smooth muscle,Tissue  expert added,Uterus,,,True,"General - Smooth muscle cells,Kidney - Proximal tubular cells",False,,ENSG00000183036,HGNC:8742
PDE1C,ENSG00000154678,"stromal, smooth muscle",smooth muscle,Tissue  expert added,Fallopian Tube,,,False,,False,,ENSG00000154678,HGNC:8776
RBFOX3,ENSG00000167281,"stromal, smooth muscle",smooth muscle,Tissue  expert added,Uterus,,,False,,False,,ENSG00000167281,HGNC:27097
SLC24A2,ENSG00000155886,"stromal, smooth muscle",smooth muscle,Tissue  expert added,Fallopian Tube,,,False,,False,,ENSG00000155886,HGNC:10976
FOXC2,ENSG00000176692,"stromal, transition","epithelial-mesenchymal transition, embryonic mesenchymal cells",State Rescue; MxIF Proteins,,,,False,,False,,ENSG00000176692,HGNC:3801
MYH10,ENSG00000133026,"stromal, vascular smooth muscle",vascular smooth muscle,Tissue  expert added,HRT,,,False,,False,,ENSG00000133026,HGNC:7568
