gene_name,Ensembl ID,Lineage/ L1 or state,cell type(s),Rationale/Source,Specific Request by,specificity flag,Protein/Other name,is_in_10x_multi_panel,10x_multi_panel_celltype,is_in_Xenium_KIL_panel,10x_panel_designer_comment,hgnc
NUGGC,ENSG00000189233,"immune lymphoid, B",plasma cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:33550
PAX5,ENSG00000196092,"immune lymphoid, B","class switched memory B cell,mature B cell,naive B cell,pre-B cell",TOP 5 (CZI) List,,,,False,,True,,HGNC:8619
SDC1,ENSG00000115884,"immune lymphoid, B",plasma cells,MxIF Proteins,,,CD138/ syndecan1,False,,False,,HGNC:10658
TCL1A,ENSG00000100721,"immune lymphoid, B","immature B cell,mature B cell,naive B cell,pre-B cell",TOP 5 (CZI) List,,,,True,General - B cells,False,,HGNC:11648
TNFRSF13B,ENSG00000240505,"immune lymphoid, B","class switched memory B cell,memory B cell",TOP 5 (CZI) List,,,,True,General - B cells,False,,HGNC:18153
TNFRSF13C,ENSG00000159958,"immune lymphoid, B","class switched memory B cell,memory B cell",TOP 5 (CZI) List,,,,False,,False,,HGNC:17755
TNFRSF17,ENSG00000048462,"immune lymphoid, B",plasma cell,TOP 5 (CZI) List,,,,True,General - B cells,False,,HGNC:11913
VPREB3,ENSG00000128218,"immune lymphoid, B","follicular B cell,immature B cell,mature B cell,memory B cell,naive B cell,pre-B cell",TOP 5 (CZI) List,,,,False,,False,,HGNC:12710
CD14,ENSG00000170458,"immune lymphoid, innate","monocytes, macrophages",MxIF Proteins,,,,True,"Breast - Breast glandular cells,Colon - Distal enterocytes,General - Macrophages,General - Monocytes,Liver - Hepatic stellate cells,Liver - Kupffer cells,Skin - Langerhans cells",True,,HGNC:1628
FUT4,ENSG00000196371,"immune lymphoid, innate","neutrophils, eosinophils, monocytes",MxIF Proteins,,,CD15,False,,False,,HGNC:4015
IL23R,ENSG00000162594,"immune lymphoid, innate",innate lymphoid cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:19100
TMIGD2,ENSG00000167664,"immune lymphoid, innate",innate lymphoid cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:28324
TNFSF11,ENSG00000120659,"immune lymphoid, innate",innate lymphoid cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:11926
XCL1,ENSG00000143184,"immune lymphoid, innate",innate lymphoid cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:10645
FCGR3A,ENSG00000203747,"immune lymphoid, NK","natural killer (NK) cells, non classical monocytes, and neutrophil",MxIF Proteins; Tissue expert added,,,CD16 / FcgRIIIa,True,"Breast - Dendritic cells,General - Macrophages,General - Monocytes,General - T cells,Liver - Kupffer cells",True,,HGNC:3619
CCL5,ENSG00000271503,"immune lymphoid, T","effector CD8 T cell,effector memory CD8 T cell","TOP 5 (CZI) List, Tissue  expert added (Uterus)",,,,True,"Breast - Dendritic cells,General - T cells,Lung - Alveolar cells type 2,Pancreas - Ductal cells",False,,HGNC:10632
CD2,ENSG00000116824,"immune lymphoid, T","NK T cell,T follicular helper cell,central memory CD4 T cell,effector memory CD4 T cell",TOP 5 (CZI) List,,,,True,General - T cells,True,,HGNC:1639
CD28,ENSG00000178562,"immune lymphoid, T",effector CD4 T cell,TOP 5 (CZI) List,,,,True,"General - B cells,General - T cells",False,,HGNC:1653
CD3D,ENSG00000167286,"immune lymphoid, T",T follicular helper cell,TOP 5 (CZI) List,,,,True,"Breast - Dendritic cells,General - T cells",False,,HGNC:1673
CD3E,ENSG00000198851,"immune lymphoid, T","T cells, CD4_naive, NK T cell,effector memory CD8 T cell",TOP 5 (CZI) List; MxIF Proteins; Tissue expert added,,,,True,General - T cells,False,,HGNC:1674
CD3G,ENSG00000160654,"immune lymphoid, T","NK T cell,effector memory CD4 T cell,naive CD8 T cell",TOP 5 (CZI) List,,,,False,,False,,HGNC:1675
CD4,ENSG00000010610,"immune lymphoid, T","CD4+ T cells, but also monocytes and macrophages, and others",MxIF Proteins,,,,True,"General - Macrophages,General - T cells,Liver - Hepatic stellate cells,Liver - Kupffer cells,Skin - Langerhans cells",True,,HGNC:1678
CD40LG,ENSG00000102245,"immune lymphoid, T","T follicular helper cell,central memory CD4 T cell,effector CD4 T cell,effector memory CD4 T cell,naive CD4 T cell,regulatory T cell",TOP 5 (CZI) List,,,,False,,False,,HGNC:11935
CD5,ENSG00000110448,"immune lymphoid, T","effector CD4 T cell,regulatory T cell",TOP 5 (CZI) List,,,,False,,False,,HGNC:1685
CD6,ENSG00000013725,"immune lymphoid, T","effector memory CD4 T cell,naive CD4 T cell",TOP 5 (CZI) List,,,,False,,False,,HGNC:1691
CD8A,ENSG00000153563,"immune lymphoid, T","central memory CD8 T cell,effector CD8 T cell,effector memory CD8 T cell,gamma-delta T cell,mucosal invariant T cell,naive CD8 T cell",TOP 5 (CZI) List; MxIF Proteins,,,,True,"Breast - Dendritic cells,General - T cells",True,,HGNC:1706
CD8B,ENSG00000172116,"immune lymphoid, T","central memory CD8 T cell,naive CD8 T cell",TOP 5 (CZI) List,,,,False,,False,,HGNC:1707
CST7,ENSG00000077984,"immune lymphoid, T",effector memory CD8 T cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:2479
CTLA4,ENSG00000163599,"immune lymphoid, T",regulatory T cell,TOP 5 (CZI) List,,,,True,"General - B cells,General - Immune checkpoint,General - T cells",False,,HGNC:2505
CXCR6,ENSG00000172215,"immune lymphoid, T",mucosal invariant T cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:16647
FOXP3,ENSG00000049768,"immune lymphoid, T",regulatory T cell,TOP 5 (CZI) List; MxIF Proteins,,,,True,General - T cells,True,,HGNC:6106
GPR171,ENSG00000174946,"immune lymphoid, T",mucosal invariant T cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:30057
GZMA,ENSG00000145649,"immune lymphoid, T","effector CD8 T cell,effector memory CD8 T cell,gamma-delta T cell",TOP 5 (CZI) List,,,,True,"Breast - Dendritic cells,General - T cells",False,,HGNC:4708
GZMH,ENSG00000100450,"immune lymphoid, T",effector CD8 T cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:4710
GZMK,ENSG00000113088,"immune lymphoid, T","NK T cell,mucosal invariant T cell",TOP 5 (CZI) List,,,,True,General - T cells,False,,HGNC:4711
GZMM,ENSG00000197540,"immune lymphoid, T",naive CD8 T cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:4712
ICOS,ENSG00000163600,"immune lymphoid, T","effector CD4 T cell,regulatory T cell",TOP 5 (CZI) List,,,,False,,False,,HGNC:5351
IFNG,ENSG00000111537,"immune lymphoid, T",effector CD8 T cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:5438
ITK,ENSG00000113263,"immune lymphoid, T","T follicular helper cell,central memory CD4 T cell",TOP 5 (CZI) List,,,,False,,False,,HGNC:6171
KLRK1,ENSG00000213809,"immune lymphoid, T",central memory CD8 T cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:18788
MAL,ENSG00000172005,"immune lymphoid, T",naive CD4 T cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:6817
NFATC1,ENSG00000131196,"immune lymphoid, T","T cell transcription factor, and others",MxIF Proteins,,,,False,,False,,HGNC:7775
THEMIS,ENSG00000172673,"immune lymphoid, T","central memory CD8 T cell,mucosal invariant T cell,naive CD8 T cell",TOP 5 (CZI) List,,,,False,,True,,HGNC:21569
TRAT1,ENSG00000163519,"immune lymphoid, T","T follicular helper cell,central memory CD4 T cell,effector CD4 T cell,effector memory CD4 T cell",TOP 5 (CZI) List,,,,False,,False,,HGNC:30698
XCL2,ENSG00000143185,"immune lymphoid, T","gamma-delta T cell,innate lymphoid cell",TOP 5 (CZI) List,,,,False,,False,,HGNC:10646
ZNF683,ENSG00000176083,"immune lymphoid, T",central memory CD8 T cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:28495
ZNF831,ENSG00000124203,"immune lymphoid, T",central memory CD4 T cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:16167
LEF1,ENSG00000138795,"immune lymphoid, T; epithelial",naive CD4 T cell; Hair shaft matrix )skin),TOP 5 (CZI) List; Tissue expert added,,,,False,,False,,HGNC:6551
CCR7,ENSG00000126353,"immune lymphoid, T; myloid?",naive CD4 T cell; (DC_CD1C_migrating; DC Skin),"TOP 5 (CZI) List, Tissue  expert added (skin)",,,,True,"General - B cells,General - Monocytes,General - T cells,Skin - Langerhans cells",False,,HGNC:1608
CD96,ENSG00000153283,"immune lymphoid, T/NKT",NK T cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:16892
IFNG-AS1,ENSG00000255733,"immune lymphoid, T/NKT",T/NK cells,Tissue  expert added,Ovary,,,False,,False,,HGNC:43910
JAML,ENSG00000160593,"immune lymphoid, T/NKT",T/NK cells,Tissue  expert added,Uterus,,,False,,False,,HGNC:19084
KLRC2,ENSG00000205809,"immune lymphoid, T/NKT",T/NK cells,Tissue  expert added,Fallopian Tube,,,False,,False,,HGNC:6375
KLRC3,ENSG00000205810,"immune lymphoid, T/NKT",T/NK cells,Tissue  expert added,Fallopian Tube,,,False,,False,,HGNC:6376
LCK,ENSG00000182866,"immune lymphoid, T/NKT",T/NK cells,Tissue  expert added,Uterus,,,False,,False,,HGNC:6524
PTGDR,ENSG00000168229,"immune lymphoid, T/NKT",T/NK cells,Tissue  expert added,Ovary,,,False,,False,,HGNC:9591
PTCRA,ENSG00000171611,"immune lymphoid, thymoctye","double negative thymocyte,plasmacytoid dendritic cell",TOP 5 (CZI) List,,,,False,,False,,HGNC:21290
SELL,ENSG00000188404,"immune lymphoid, thymoctye",double negative thymocyte,TOP 5 (CZI) List,,,,True,"General - B cells,General - Macrophages,General - T cells,Liver - Kupffer cells",False,,HGNC:10720
SH2D1A,ENSG00000183918,"immune lymphoid, thymoctye",double positive thymocyte,TOP 5 (CZI) List,,,,False,,False,,HGNC:10820
SH3TC1,ENSG00000125089,"immune lymphoid, thymoctye",double positive thymocyte,TOP 5 (CZI) List,,,,False,,False,,HGNC:26009
SMIM24,ENSG00000095932,"immune lymphoid, thymoctye","double negative thymocyte,hematopoietic stem cell",TOP 5 (CZI) List,,,,True,"Colon - Enteroendocrine cells,Kidney - Proximal tubular cells,Liver - Cholangiocytes",False,,HGNC:37244
SMPD3,ENSG00000103056,"immune lymphoid, thymoctye",double positive thymocyte,TOP 5 (CZI) List,,,,False,,False,,HGNC:14240
SOCS2,ENSG00000120833,"immune lymphoid, thymoctye",double negative thymocyte,TOP 5 (CZI) List,,,,False,,False,,HGNC:19382
TCF7,ENSG00000081059,"immune lymphoid, thymoctye",double positive thymocyte,TOP 5 (CZI) List,,,,False,,False,,HGNC:11639
TFDP2,ENSG00000114126,"immune lymphoid, thymoctye",double positive thymocyte,TOP 5 (CZI) List,,,,False,,False,,HGNC:11751
UGT3A2,ENSG00000168671,"immune lymphoid, thymoctye",double negative thymocyte,TOP 5 (CZI) List,,,,False,,False,,HGNC:27266
CD1C,ENSG00000158481,"immune myeloid, dendritic","conventional dendritic cell, cDC2",TOP 5 (CZI) List;MxIF Proteins,,,,True,"General - Dendritic cells,General - Macrophages,Skin - Langerhans cells",False,,HGNC:1636
CLEC10A,ENSG00000132514,"immune myeloid, dendritic","conventional dendritic cell, cDC2",TOP 5 (CZI) List,,,,True,"General - Macrophages,Skin - Langerhans cells",True,,HGNC:16916
CLEC4C,ENSG00000198178,"immune myeloid, dendritic",plasmacytoid dendritic cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:13258
CLEC9A,ENSG00000197992,"immune myeloid, dendritic",conventional dendritic cell,TOP 5 (CZI) List,,,,False,,True,,HGNC:26705
CSF2RA,ENSG00000198223,"immune myeloid, dendritic",conventional dendritic cell,TOP 5 (CZI) List,,Check this gene ID from the CZI list,,True,"General - Macrophages,General - Monocytes,Skin - Langerhans cells",True,,HGNC:2435
FCER1A,ENSG00000179639,"immune myeloid, dendritic","conventional dendritic cell, cDC2",TOP 5 (CZI) List,,,,True,"General - Granulocytes,General - Macrophages,General - Myeloid dendritic cells,Skin - Langerhans cells",False,,HGNC:3609
LILRA4,ENSG00000239961,"immune myeloid, dendritic",plasmacytoid dendritic cell,TOP 5 (CZI) List,,,,True,General - Plasmacytoid dendritic cells,False,,HGNC:15503
PLD4,ENSG00000166428,"immune myeloid, dendritic",plasmacytoid dendritic cell,TOP 5 (CZI) List,,,,True,General - Macrophages,False,,HGNC:23792
CXCL10,ENSG00000169245,"immune myeloid, macrophage",moMACinf,Tissue  expert added,,,,True,"General - Endothelial cells,General - Macrophages,Pancreas - Ductal cells",True,,HGNC:10637
HBEGF,ENSG00000113070,"immune myeloid, macrophage",moMACinf,Tissue  expert added,,,,False,,False,,HGNC:3059
CDK15,ENSG00000138395,"immune myeloid, mast",Mast,Tissue  expert added,HRT Add-on,,,False,,False,,HGNC:14434
CPA3,ENSG00000163751,"immune myeloid, mast","mast cell, platelet",TOP 5 (CZI) List,,,,True,General - Granulocytes,True,,HGNC:2298
HDC,ENSG00000140287,"immune myeloid, mast",mast cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:4855
IL18R1,ENSG00000115604,"immune myeloid, mast",Mast,Tissue  expert added,HRT Add-on,,,False,,False,,HGNC:5988
MS4A2,ENSG00000149534,"immune myeloid, mast",mast cell,TOP 5 (CZI) List,,,,True,General - Granulocytes,False,,HGNC:7316
NTM,ENSG00000182667,"immune myeloid, mast",Mast,Tissue  expert added,HRT Add-on,,,False,,False,,HGNC:17941
TPSAB1,ENSG00000172236,"immune myeloid, mast","mast cell,platelet",TOP 5 (CZI) List; MxIF Proteins,,,,False,,False,,HGNC:12019
TPSB2,ENSG00000197253,"immune myeloid, mast",mast cell,TOP 5 (CZI) List,,,,False,,True,,HGNC:14120
CLEC1B,ENSG00000165682,"immune myeloid, megakaryocyte,platelet",platelet,TOP 5 (CZI) List,,,,False,,False,,HGNC:24356
GATA1,ENSG00000102145,"immune myeloid, megakaryocyte,platelet",megakaryocyte,TOP 5 (CZI) List,,,,False,,False,,HGNC:4170
GP9,ENSG00000169704,"immune myeloid, megakaryocyte,platelet",megakaryocyte,TOP 5 (CZI) List,,,,False,,False,,HGNC:4444
ITGA2B,ENSG00000005961,"immune myeloid, megakaryocyte,platelet",megakaryocyte,TOP 5 (CZI) List,,,,False,,False,,HGNC:6138
MPIG6B,ENSG00000204420,"immune myeloid, megakaryocyte,platelet",megakaryocyte,TOP 5 (CZI) List,,,,False,,False,,HGNC:13937
TREML1,ENSG00000161911,"immune myeloid, megakaryocyte,platelet",platelet,TOP 5 (CZI) List,,,,False,,False,,HGNC:20434
TUBB1,ENSG00000101162,"immune myeloid, megakaryocyte,platelet","megakaryocyte,platelet",TOP 5 (CZI) List,,,,False,,False,,HGNC:16257
ADGRE2,ENSG00000127507,"immune, myeloid",non classical monocyte,Tissue  expert added,,,,False,,False,,HGNC:3337
C1QB,ENSG00000173369,"immune, myeloid",macrophage,TOP 5 (CZI) List,,,,False,,False,,HGNC:1242
C1QC,ENSG00000159189,"immune, myeloid",macrophage,TOP 5 (CZI) List,,,,False,,False,,HGNC:1245
CCL2,ENSG00000108691,"immune, myeloid","monocytes, macrophages, dendritic cells, induced wtih stress in multiple (epithelial, endothelial, stromal)",MxIF Proteins,,,MCP1,False,,True,,HGNC:10618
CD163,ENSG00000177575,"immune, myeloid",macrophage,TOP 5 (CZI) List; MxIF Proteins,,,,True,"General - Macrophages,Liver - Kupffer cells,Skin - Langerhans cells",True,,HGNC:1631
CD300E,ENSG00000186407,"immune, myeloid","classical monocyte,non-classical monocyte",TOP 5 (CZI) List,,,,True,"General - Macrophages,Liver - Kupffer cells",False,,HGNC:28874
CD68,ENSG00000129226,"immune, myeloid",macrophages (subset),MxIF Proteins,,,,True,"General - Macrophages,Liver - Kupffer cells,Skin - Langerhans cells",True,,HGNC:1693
CD79B,ENSG00000007312,"immune, myeloid",non classical monocyte,Tissue  expert added,,,,False,,False,,HGNC:1699
CEACAM8,ENSG00000124469,"immune, myeloid",neutrophils,MxIF Proteins,,,CD66B,False,,False,,HGNC:1820
CXCR2,ENSG00000180871,"immune, myeloid","conventional dendritic cell, cDC1",Tissue  expert added,,,,False,,False,,HGNC:6027
FCGR3B,ENSG00000162747,"immune, myeloid",neutrophil,TOP 5 (CZI) List,,,,False,,True,,HGNC:3620
FCN1,ENSG00000085265,"immune, myeloid","classical monocyte,non-classical monocyte",TOP 5 (CZI) List,,,,True,"General - Macrophages,Liver - Kupffer cells",True,,HGNC:3623
IGSF21,ENSG00000117154,"immune, myeloid",macrophage,Tissue  expert added,Uterus,,,False,,False,,HGNC:28246
KCND3,ENSG00000171385,"immune, myeloid","conventional dendritic cell, cDC1",Tissue  expert added,,,,False,,False,,HGNC:6239
KCNK13,ENSG00000152315,"immune, myeloid",macrophage,Tissue  expert added,Fallopian Tube,,,False,,False,,HGNC:6275
LAMP3,ENSG00000078081,"immune, myeloid",Langerhans cell,TOP 5 (CZI) List,,,,True,"General - Monocytes,Lung - Alveolar cells type 2",True,,HGNC:14582
LILRA1,ENSG00000104974,"immune, myeloid",non-classical monocyte,TOP 5 (CZI) List,,,,False,,False,,HGNC:6602
LILRA2,ENSG00000239998,"immune, myeloid",non-classical monocyte,TOP 5 (CZI) List,,,,False,,False,,HGNC:6603
LILRA5,ENSG00000187116,"immune, myeloid","classical monocyte,non-classical monocyte",TOP 5 (CZI) List,,,,True,"General - Macrophages,Liver - Kupffer cells",False,,HGNC:16309
LILRB5,ENSG00000105609,"immune, myeloid",macrophage,Tissue  expert added,Ovary,,,False,,False,,HGNC:6609
MMP9,ENSG00000100985,"immune, myeloid",Langerhans cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:7176
MPO,ENSG00000005381,"immune, myeloid","neutrophils, monocytes, some neurons",MxIF Proteins,,,,False,,False,,HGNC:7218
MRC1,ENSG00000260314,"immune, myeloid","macrophage, immature DC, neural?",MxIF Proteins,,,CD206,True,"Breast - Breast glandular cells,General - Endothelial cells,General - Macrophages,Liver - Hepatic stellate cells,Liver - Kupffer cells",True,,HGNC:7228
MS4A4A,ENSG00000110079,"immune, myeloid",macrophage,TOP 5 (CZI) List,,,,True,"General - Macrophages,Liver - Kupffer cells,Skin - Langerhans cells",False,,HGNC:13371
MS4A7,ENSG00000166927,"immune, myeloid",macrophage,TOP 5 (CZI) List,,,,False,,False,,HGNC:13378
OLR1,ENSG00000173391,"immune, myeloid",macrophage,Tissue  expert added,Fallopian Tube,,,False,,False,,HGNC:8133
PADI2,ENSG00000117115,"immune, myeloid",macrophage,Tissue  expert added,Fallopian Tube,,,False,,False,,HGNC:18341
PADI4,ENSG00000159339,"immune, myeloid",neutrophil,TOP 5 (CZI) List,,,,False,,False,,HGNC:18368
PGLYRP1,ENSG00000008438,"immune, myeloid",neutrophil,TOP 5 (CZI) List,,,,False,,False,,HGNC:8904
PLEK,ENSG00000115956,"immune, myeloid",macrophage,Tissue  expert added,Ovary,,,False,,False,,HGNC:9070
PROK2,ENSG00000163421,"immune, myeloid",neutrophil,TOP 5 (CZI) List,,,,False,,False,,HGNC:18455
RNASE2,ENSG00000169385,"immune, myeloid",classical monocyte,TOP 5 (CZI) List,,,,False,,False,,HGNC:10045
S100A12,ENSG00000163221,"immune, myeloid","classical monocyte,neutrophil",TOP 5 (CZI) List,,,,True,"General - Macrophages,Liver - Kupffer cells",False,,HGNC:10489
S100A8,ENSG00000143546,"immune, myeloid",neutrophil,Tissue  expert added,,,,False,,True,Too highly expressed,HGNC:10498
SIGLEC1,ENSG00000088827,"immune, myeloid","macrophage, some DC",MxIF Proteins,,,CD169,False,,False,,HGNC:11127
SLC6A12,ENSG00000111181,"immune, myeloid",Langerhans cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:11045
SLC9A7,ENSG00000065923,"immune, myeloid",Langerhans cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:17123
SMIM25,ENSG00000224397,"immune, myeloid",non classical monocyte,Tissue  expert added,,PELATON,,False,,False,,
SNED1,ENSG00000162804,"immune, myeloid",non classical monocyte,Tissue  expert added,,,,False,,False,,HGNC:24696
STARD13,ENSG00000133121,"immune, myeloid",macrophage,Tissue  expert added,,,,False,,False,,HGNC:19164
TVP23A,ENSG00000166676,"immune, myeloid",Langerhans cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:20398
ZNF804A,ENSG00000170396,"immune, myeloid",macrophage,Tissue  expert added,Fallopian Tube,,,False,,False,,HGNC:21711
GNLY,ENSG00000115523,"immune, NK",NK cell,TOP 5 (CZI) List,,,,True,"Breast - Dendritic cells,General - NK cells,General - T cells",True,,HGNC:4414
GZMB,ENSG00000100453,"immune, NK",NK cell,TOP 5 (CZI) List; MxIF Proteins,,,,True,"Breast - Dendritic cells,General - T cells",False,,HGNC:4709
KLRD1,ENSG00000134539,"immune, NK","NK cell,gamma-delta T cell",TOP 5 (CZI) List,,,,True,"Breast - Dendritic cells,General - T cells",True,,HGNC:6378
KLRF1,ENSG00000150045,"immune, NK",NK cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:13342
NCAM1,ENSG00000149294,"immune, NK","NK, some T cells",MxIF Proteins,,,,False,,False,,HGNC:7656
NCR2,ENSG00000096264,"immune, NK",activated NK cells,MxIF Proteins,,,,False,,False,,HGNC:6732
PRF1,ENSG00000180644,"immune, NK","NK cell,gamma-delta T cell",TOP 5 (CZI) List,,,,True,"Breast - Dendritic cells,General - T cells",False,,HGNC:9360
NFKB1,ENSG00000109320,inflammation,multiple,Tissue  expert added,,,NFKB p50,False,,False,,HGNC:7794
RELA,ENSG00000173039,inflammation,multiple,Tissue  expert added,,,NFKB family member p65,False,,False,,HGNC:9955
SPP1,ENSG00000118785,injury,multiple,Tissue  expert added,,,,False,,True,,HGNC:11255
MFAP4,ENSG00000166482,mesenchymal stem cell,mesenchymal stem cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:7035
OGN,ENSG00000106809,mesenchymal stem cell,mesenchymal stem cell,TOP 5 (CZI) List,,,,True,General - Fibroblasts,False,,HGNC:8126
MT-ATP8,ENSG00000228253,mitochondrial,mitochondrial,Tissue  expert added,HRT Add-on,,,False,,False,,HGNC:7415
CA12,ENSG00000074410,multiple,epithelial and others,Tissue  expert added,IVD,,,False,,False,,HGNC:1371
CLDN11,ENSG00000013297,multiple,tight junctions,MxIF Proteins,,,,False,,False,,HGNC:8514
CYTL1,ENSG00000170891,multiple,"some CD34+ cells, chondrocytes, endothelial",Tissue  expert added,IVD,,,False,,False,,HGNC:24435
GATA2,ENSG00000179348,multiple,"progenitor, endothelial, other",MxIF Proteins,,,,True,"Breast - Adipocytes,General - Endothelial cells,General - Granulocytes,Kidney - Collecting duct cells",False,,HGNC:4171
LTF,ENSG00000012223,multiple,"neutrophils, monocytes, B cells, ",MxIF Proteins,,,,False,,False,,HGNC:6720
MMP13,ENSG00000137745,multiple,"chondrocytes, epithelial, neuronal, cancer",Tissue  expert added,IVD,,,False,,False,,HGNC:7159
NT5E,ENSG00000135318,multiple,increase with hypoxia and stress?,MxIF Proteins,,,,False,,False,,HGNC:8021
SOX2,ENSG00000181449,multiple,"hair follicle, airway epitheium, neurons",Potential Rescue,,,,True,Lung - respiratory ciliated cells,True,,HGNC:11195
TGFB1,ENSG00000105329,multiple,multiple,Tissue  expert added,IVD,,,False,,False,,HGNC:11766
THY1,ENSG00000154096,multiple,"neurons (predominant), thymocytes, keratinocytes, activated endothelial, smooth muscle, fibroblasts, myofibroblasts, stem cells",MxIF Proteins,,,,True,"General - Fibroblasts,General - Smooth muscle cells,Kidney - Proximal tubular cells",False,,HGNC:11801
VIM,ENSG00000026025,multiple,"endothelial, stroma, monocytes, neurons, ",MxIF Proteins,,,,False,,True,,HGNC:12692
SOX9,ENSG00000125398,"multiple, stromal, epithelial","paneth cells, intestinal progenitor, distal airway, condrocytes, glia, neural crest cells, pancreatic progenitor and ducts, melanocytes, cardia cushion, ",Tissue expert added (x3),"IVD, Lung",,,False,,False,,HGNC:11204
HPGD ,ENSG00000164120,multiple? capillary endothelial,"Treg (esp in fat?), lung capillary, other",MxIF Proteins,,,15-PGDH,False,,False,,
CADM2,ENSG00000175161,neural,Neuronal,Tissue  expert added,HRT Add-on,,,False,,False,,HGNC:29849
CDH19,ENSG00000071991,neural,schwann cell,TOP 5 (CZI) List,,,,False,,True,,HGNC:1758
CMTM5,ENSG00000166091,neural,schwann cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:19176
INA,ENSG00000148798,neural,ganglion cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:6057
NRSN1,ENSG00000152954,neural,"ganglion cell,motor neuron",TOP 5 (CZI) List,,,,False,,False,,HGNC:17881
NRXN3,ENSG00000021645,neural,Neuronal,Tissue  expert added,HRT Add-on,,,False,,False,,HGNC:8010
PHOX2A,ENSG00000165462,neural,"ganglion cell,motor neuron,sensory neuron",TOP 5 (CZI) List,,,,False,,False,,HGNC:691
PIEZO2,ENSG00000154864,neural,"sensory neurons, merkel cells, lung and bladder",MxIF Proteins,,,,False,,True,,HGNC:26270
PLP1,ENSG00000123560,neural,schwann cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:9086
PMP2,ENSG00000147588,neural,schwann cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:9117
SCG2,ENSG00000171951,neural,"motor neuron,sensory neuron",TOP 5 (CZI) List,,,,False,,False,,HGNC:10575
SCG3,ENSG00000104112,neural,motor neuron,TOP 5 (CZI) List,,,,False,,False,,HGNC:13707
SOX10,ENSG00000100146,neural,"Schwann cell,myoepithelial cell,serous cell",TOP 5 (CZI) List,,,,False,,True,,HGNC:11190
STMN4,ENSG00000015592,neural,"ganglion cell,motor neuron,sensory neuron",TOP 5 (CZI) List,,,,False,,False,,HGNC:16078
TH,ENSG00000180176,neural,sympathetic \ dopaminergic neurons,Tissue  expert added,,,,False,,True,,HGNC:11782
TLX2,ENSG00000115297,neural,sensory neuron,TOP 5 (CZI) List,,,,False,,False,,HGNC:5057
TRPV1,ENSG00000196689,neural,sensory,Tissue  expert added,,,,False,,False,,HGNC:12716
TTC9B,ENSG00000174521,neural,"ganglion cell,sensory neuron",TOP 5 (CZI) List,,,,False,,False,,HGNC:26395
TUBB3,ENSG00000258947,neural,"neurons, ?endothelium, ?fibroblasts",MxIF Proteins; Tissue expert added,Lung,,,False,,False,,HGNC:20772
GRIA1,ENSG00000155511,"neural CNS, stromal","CNS, fibroblast",MxIF Proteins,,,,False,,False,,HGNC:4571
GRP,ENSG00000134443,neural crest derived,"dorsal horn interneurons, neuroendocrine cells of lung (other organs?)",MxIF Proteins,,,,False,,False,,HGNC:4605
CALCA,ENSG00000110680,"neural, sensory","ganglion cell, senosory neuron",Rescue,,,,False,,True,,HGNC:1437
NRXN1,ENSG00000179915,neuroglial,neuroglial,Tissue  expert added,,,,False,,True,Highly expressed,HGNC:8008
MKI67,ENSG00000148773,proliferation marker,multiple,State Rescue; MxIF Proteins,,,,True,"Colon - Distal enterocytes,Colon - Undifferentiated cells,General - Proliferation,General - T cells",True,,HGNC:7107
CIT,ENSG00000122966,proliferation markers,multiple,State Rescue,,,,False,,False,,HGNC:1985
TOP2A,ENSG00000131747,proliferation markers,multiple,State Rescue,,,,True,"Colon - Distal enterocytes,Colon - Undifferentiated cells,General - Proliferation,General - T cells",True,,HGNC:11989
SOX4,ENSG00000124766,"repair inf, regenerating",multiple,Tissue  expert added,,,,False,,True,,HGNC:11200
CDKN1A,ENSG00000124762,senescence markers,multiple,State Rescue,,,p21,False,,True,,HGNC:1784
CDKN1B,ENSG00000111276,senescence markers,multiple,State Rescue,,,,False,,True,,HGNC:1785
CDKN2A,ENSG00000147889,senescence markers,multiple,State Rescue,,,p16,False,,True,,HGNC:1787
