gene_label,ct_label,as_label,as,ct,gene,source,avg_mean_gene_expr,cell_instance_count,dataset_count
ACTA2,vascular associated smooth muscle cell,Right bronchial artery,http://purl.org/sig/ont/fma/fma31933,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,First plantar metatarsal artery,http://purl.org/sig/ont/fma/fma43959,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,Calcaneal branch of fibular artery,http://purl.org/sig/ont/fma/fma44630,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,Sternocleidomastoid artery,http://purl.org/sig/ont/fma/fma49477,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,Superior laryngeal artery,http://purl.org/sig/ont/fma/fma49480,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,Mastoid artery,http://purl.org/sig/ont/fma/fma49599,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,Descending branch of occipital artery,http://purl.org/sig/ont/fma/fma49608,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,Muscular branch of occipital artery,http://purl.org/sig/ont/fma/fma49621,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,Posterior tympanic artery,http://purl.org/sig/ont/fma/fma49631,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,Occipital branch of posterior auricular artery,http://purl.org/sig/ont/fma/fma49644,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,Parotid branch of posterior auricular artery,http://purl.org/sig/ont/fma/fma49647,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,Recurrent meningeal branch of lacrimal artery,http://purl.org/sig/ont/fma/fma51965,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,Trunk of left basal segmental artery,http://purl.org/sig/ont/fma/fma68848,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,Perforating femoral artery,http://purl.org/sig/ont/fma/fma69460,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,Medial part of dorsal digital artery of great toe,http://purl.org/sig/ont/fma/fma69585,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,Medial part of dorsal digital artery of second toe,http://purl.org/sig/ont/fma/fma69586,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,Set of paramedian arteries,http://purl.org/sig/ont/fma/fma71492,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,Set of glandular branches of facial artery,http://purl.org/sig/ont/fma/fma71675,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,Dorsal scapular artery,http://purl.org/sig/ont/fma/fma79658,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,Third common palmar digital artery,http://purl.org/sig/ont/fma/fma85107,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,Trunk of right upper lobar artery,http://purl.org/sig/ont/fma/fma8616,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,Right anterior segmental artery,http://purl.org/sig/ont/fma/fma8620,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,Right superior segmental artery,http://purl.org/sig/ont/fma/fma8627,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,Left anterior basal segmental artery,http://purl.org/sig/ont/fma/fma8645,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,Left posterior basal segmental artery,http://purl.org/sig/ont/fma/fma8647,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,anterior segmental medullary artery,https://purl.org/ccf/ASCTB-TEMP_anterior-segmental-medullary-artery,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,dorsal branch of lateral proper palmar digital artery of third digit of hand,https://purl.org/ccf/ASCTB-TEMP_dorsal-branch-of-lateral-proper-palmar-digital-artery-of-third-digit-of-hand,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,inferior parietal artery,https://purl.org/ccf/ASCTB-TEMP_inferior-parietal-artery,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,jugular branch of ascending pharyngeal artery,https://purl.org/ccf/ASCTB-TEMP_jugular-branch-of-ascending-pharyngeal-artery,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,lateral proper palmar digital artery of first digit of hand,https://purl.org/ccf/ASCTB-TEMP_lateral-proper-palmar-digital-artery-of-first-digit-of-hand,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,medial dorsal digital artery of second digit of hand,https://purl.org/ccf/ASCTB-TEMP_medial-dorsal-digital-artery-of-second-digit-of-hand,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,medial lenticulostriate artery,https://purl.org/ccf/ASCTB-TEMP_medial-lenticulostriate-artery,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,mucosal arteriole of colon,https://purl.org/ccf/ASCTB-TEMP_mucosal-arteriole-of-colon,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,recurrent muscular branch of submucosal artery of colon,https://purl.org/ccf/ASCTB-TEMP_recurrent-muscular-branch-of-submucosal-artery-of-colon,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,segmental spinal artery #3,https://purl.org/ccf/ASCTB-TEMP_segmental-spinal-artery-3,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,vasa recta of jejunum,https://purl.org/ccf/ASCTB-TEMP_vasa-recta-of-jejunum,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,inferior epigastric artery,http://purl.obolibrary.org/obo/UBERON_0001354,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,infraorbital artery,http://purl.obolibrary.org/obo/UBERON_0004646,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
ACTA2,vascular associated smooth muscle cell,incisor artery,http://purl.obolibrary.org/obo/UBERON_8600086,http://purl.obolibrary.org/obo/CL_0000359,http://identifiers.org/hgnc/130,asctb,,,
