as_label,uberon_id,sex,ref_organ
female,UBERON:0006493,Female,https://purl.humanatlas.io/ref-organ/spinal-cord-female/v1.1#primary
female,UBERON:0006470,Female,https://purl.humanatlas.io/ref-organ/spinal-cord-female/v1.1#primary
female eigth thoracic spinal cord segment,UBERON:0006456,Female,https://purl.humanatlas.io/ref-organ/spinal-cord-female/v1.1#primary
female eleventh thoracic spinal cord segment,UBERON:0006467,Female,https://purl.humanatlas.io/ref-organ/spinal-cord-female/v1.1#primary
female fifth lumbar spinal cord segment,UBERON:0006447,Female,https://purl.humanatlas.io/ref-organ/spinal-cord-female/v1.1#primary
female fifth thoracic spinal cord segment,UBERON:0006453,Female,https://purl.humanatlas.io/ref-organ/spinal-cord-female/v1.1#primary
female first lumbar spinal cord segment,UBERON:0006448,Female,https://purl.humanatlas.io/ref-organ/spinal-cord-female/v1.1#primary
female first sacral spinal cord segment,UBERON:0006460,Female,https://purl.humanatlas.io/ref-organ/spinal-cord-female/v1.1#primary
female first thoracic spinal cord segment,UBERON:0006457,Female,https://purl.humanatlas.io/ref-organ/spinal-cord-female/v1.1#primary
female fourth lumbar spinal cord segment,UBERON:0006451,Female,https://purl.humanatlas.io/ref-organ/spinal-cord-female/v1.1#primary
female fourth sacral spinal cord segment,UBERON:0006463,Female,https://purl.humanatlas.io/ref-organ/spinal-cord-female/v1.1#primary
female fourth thoracic spinal cord segment,UBERON:0006452,Female,https://purl.humanatlas.io/ref-organ/spinal-cord-female/v1.1#primary
female ninth thoracic spinal cord segment,UBERON:0006465,Female,https://purl.humanatlas.io/ref-organ/spinal-cord-female/v1.1#primary
female second lumbar spinal cord segment,UBERON:0006450,Female,https://purl.humanatlas.io/ref-organ/spinal-cord-female/v1.1#primary
female second sacral spinal cord segment,UBERON:0006461,Female,https://purl.humanatlas.io/ref-organ/spinal-cord-female/v1.1#primary
female second thoracic spinal cord segment,UBERON:0006458,Female,https://purl.humanatlas.io/ref-organ/spinal-cord-female/v1.1#primary
