"organ","as","as_id","cell_id"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:plasma"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:pre-b"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:pro-b"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:progenitor-neurog3-"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:proximal-progenitor"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:rbc"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:sell-cd4-t"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:sell-cd8-t"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:smc-part1-capn3-"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:smc-plpp2-"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:smooth-muscle"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:stat1-naive-b"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:stem-cells"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:stroma"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:stromal-1-ccl11-"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:stromal-2-npy-"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:stromal-3-c7-"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:stromal-3-kcnn3-"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:stromal-4-mmp1-"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:t-reticular"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:ta"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:tfh"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:th1"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:th17"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:transitional-stromal-3-c3-"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:trdv2-trgv9-gdt"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:treg"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:trgv2-gdt"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:trgv4-gdt"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:trgv5-7-gdt"
"Small Intestine","Superior part of Duodenum","FMA:14926","ASCTB-TEMP:tuft"
"Small Intestine","Superior part of Duodenum","FMA:14926","CL:0000057"
"Small Intestine","Superior part of Duodenum","FMA:14926","CL:0000097"
"Small Intestine","Superior part of Duodenum","FMA:14926","CL:0000131"
"Small Intestine","Superior part of Duodenum","FMA:14926","CL:0000236"
"Small Intestine","Superior part of Duodenum","FMA:14926","CL:0000576"
"Small Intestine","Superior part of Duodenum","FMA:14926","CL:0000624"
"Small Intestine","Superior part of Duodenum","FMA:14926","CL:0000625"
"Small Intestine","Superior part of Duodenum","FMA:14926","CL:0000775"
"Small Intestine","Superior part of Duodenum","FMA:14926","CL:0000786"
"Small Intestine","Superior part of Duodenum","FMA:14926","CL:0009006"
"Small Intestine","Superior part of Duodenum","FMA:14926","CL:0009012"
"Small Intestine","Superior part of Duodenum","FMA:14926","CL:0009017"
"Small Intestine","Superior part of Duodenum","FMA:14926","CL:0009080"
"Small Intestine","Superior part of Duodenum","FMA:14926","CL:1000334"
"Small Intestine","Superior part of Duodenum","FMA:14926","CL:1000343"
"Small Intestine","Superior part of Duodenum","FMA:14926","CL:1000495"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:-cells-ins-"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:activated-cd4-t"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:activated-cd8-t"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:activated-t"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:adult-glia"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:angiogenic-pericyte"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:arterial-capillary"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:b"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:best2-goblet-cell"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:best4-epithelial"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:branch-a1-imn-"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:branch-a2-ipan-in-"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:branch-a3-ipan-in-"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:branch-a4-in-"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:branch-b1-emn-"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:branch-b2-emn-"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:branch-b3-ipan-"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:cd4-t-cell"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:cd57-enterocyte"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:cd66-enterocyte"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:cd7-immune"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:cd8-t"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:cd8-tmem"
